,tipo,categoria,pais_origem,pais_destino,ano,kg,valor
165,Vinhos de mesa,,Brasil,Bulgária,2010,,
166,Vinhos de mesa,,Brasil,Cabo Verde,2010,11991.0,49366.0
167,Vinhos de mesa,,Brasil,Camarões,2010,,
168,Vinhos de mesa,,Brasil,Canadá,2010,,
169,Vinhos de mesa,,Brasil,Catar,2010,,
170,Vinhos de mesa,,Brasil,"Cayman, Ilhas",2010,,
171,Vinhos de mesa,,Brasil,Chile,2010,,
172,Vinhos de mesa,,Brasil,China,2010,795.0,2358.0
173,Vinhos de mesa,,Brasil,Chipre,2010,,
174,Vinhos de mesa,,Brasil,Cingapura,2010,1533.0,5504.0
175,Vinhos de mesa,,Brasil,"Cocos (Keeling), Ilhas",2010,,
176,Vinhos de mesa,,Brasil,Colômbia,2010,,
177,Vinhos de mesa,,Brasil,Comores,2010,,
178,Vinhos de mesa,,Brasil,Congo,2010,,
179,Vinhos de mesa,,Brasil,"Coreia, Republica Sul",2010,,
180,Vinhos de mesa,,Brasil,Costa do Marfim,2010,,
181,Vinhos de mesa,,Brasil,Costa Rica,2010,,
182,Vinhos de mesa,,Brasil,Coveite (Kuweit),2010,,
183,Vinhos de mesa,,Brasil,Croácia,2010,,
184,Vinhos de mesa,,Brasil,Cuba,2010,,
185,Vinhos de mesa,,Brasil,Curaçao,2010,,
186,Vinhos de mesa,,Brasil,Dinamarca,2010,7034.0,69161.0
187,Vinhos de mesa,,Brasil,Dominica,2010,,
188,Vinhos de mesa,,Brasil,El Salvador,2010,,
189,Vinhos de mesa,,Brasil,Emirados Arabes Unidos,2010,1035.0,3206.0
190,Vinhos de mesa,,Brasil,Equador,2010,,
191,Vinhos de mesa,,Brasil,"Eslovaca, Republica",2010,,
192,Vinhos de mesa,,Brasil,Espanha,2010,,
193,Vinhos de mesa,,Brasil,Estados Unidos,2010,228968.0,478630.0
194,Vinhos de mesa,,Brasil,Estônia,2010,15848.0,40778.0
195,Vinhos de mesa,,Brasil,Filipinas,2010,,
196,Vinhos de mesa,,Brasil,Finlândia,2010,,
197,Vinhos de mesa,,Brasil,França,2010,3614.0,18904.0
198,Vinhos de mesa,,Brasil,Gabão,2010,,
199,Vinhos de mesa,,Brasil,Gana,2010,,
200,Vinhos de mesa,,Brasil,Gibraltar,2010,,
201,Vinhos de mesa,,Brasil,Granada,2010,,
202,Vinhos de mesa,,Brasil,Grécia,2010,,
203,Vinhos de mesa,,Brasil,Guatemala,2010,,
204,Vinhos de mesa,,Brasil,Guiana,2010,783.0,3654.0
205,Vinhos de mesa,,Brasil,Guiana Francesa,2010,,
206,Vinhos de mesa,,Brasil,Guine Bissau,2010,,
207,Vinhos de mesa,,Brasil,Guine Equatorial,2010,410.0,1015.0
208,Vinhos de mesa,,Brasil,Haiti,2010,2700.0,3750.0
209,Vinhos de mesa,,Brasil,Honduras,2010,,
210,Vinhos de mesa,,Brasil,Hong Kong,2010,,
211,Vinhos de mesa,,Brasil,Hungria,2010,540.0,4103.0
212,Vinhos de mesa,,Brasil,Ilha de Man,2010,,
213,Vinhos de mesa,,Brasil,Ilhas Virgens,2010,,
214,Vinhos de mesa,,Brasil,Índia,2010,,
215,Vinhos de mesa,,Brasil,Indonésia,2010,,
216,Vinhos de mesa,,Brasil,Irã,2010,,
217,Vinhos de mesa,,Brasil,Iraque,2010,,
218,Vinhos de mesa,,Brasil,Irlanda,2010,3969.0,42795.0
219,Vinhos de mesa,,Brasil,Itália,2010,1458.0,4828.0
220,Vinhos de mesa,,Brasil,Jamaica,2010,,
221,Vinhos de mesa,,Brasil,Japão,2010,112178.0,74628.0
222,Vinhos de mesa,,Brasil,Jordânia,2010,,
223,Vinhos de mesa,,Brasil,Letônia,2010,,
224,Vinhos de mesa,,Brasil,Líbano,2010,,
225,Vinhos de mesa,,Brasil,Libéria,2010,,
226,Vinhos de mesa,,Brasil,Luxemburgo,2010,7344.0,32549.0
227,Vinhos de mesa,,Brasil,Macau,2010,,
228,Vinhos de mesa,,Brasil,Malásia,2010,,
229,Vinhos de mesa,,Brasil,Malavi,2010,,
230,Vinhos de mesa,,Brasil,Malta,2010,,
231,Vinhos de mesa,,Brasil,"Marshall, Ilhas",2010,,
232,Vinhos de mesa,,Brasil,Martinica,2010,,
233,Vinhos de mesa,,Brasil,Mauritânia,2010,,
234,Vinhos de mesa,,Brasil,México,2010,,
235,Vinhos de mesa,,Brasil,Moçambique,2010,,
236,Vinhos de mesa,,Brasil,Montenegro,2010,,
237,Vinhos de mesa,,Brasil,Namíbia,2010,,
238,Vinhos de mesa,,Brasil,Nicarágua,2010,,
239,Vinhos de mesa,,Brasil,Nigéria,2010,,
240,Vinhos de mesa,,Brasil,Noruega,2010,,
241,Vinhos de mesa,,Brasil,Nova Caledônia,2010,,
242,Vinhos de mesa,,Brasil,Nova Zelândia,2010,,
243,Vinhos de mesa,,Brasil,Omã,2010,,
244,Vinhos de mesa,,Brasil,Países Baixos,2010,87368.0,302182.0
245,Vinhos de mesa,,Brasil,Palau,2010,,
246,Vinhos de mesa,,Brasil,Panamá,2010,,
247,Vinhos de mesa,,Brasil,Paraguai,2010,510989.0,449197.0
248,Vinhos de mesa,,Brasil,Peru,2010,,
249,Vinhos de mesa,,Brasil,Pitcairn,2010,,
250,Vinhos de mesa,,Brasil,Polônia,2010,20464.0,95198.0
251,Vinhos de mesa,,Brasil,Porto Rico,2010,,
252,Vinhos de mesa,,Brasil,Portugal,2010,4577.0,18970.0
253,Vinhos de mesa,,Brasil,Quênia,2010,,
254,Vinhos de mesa,,Brasil,Reino Unido,2010,123624.0,295690.0
255,Vinhos de mesa,,Brasil,República Dominicana,2010,,
256,Vinhos de mesa,,Brasil,Rússia,2010,,
257,Vinhos de mesa,,Brasil,São Cristóvão e Névis,2010,,
258,Vinhos de mesa,,Brasil,São Tomé e Príncipe,2010,,
259,Vinhos de mesa,,Brasil,São Vicente e Granadinas,2010,,
260,Vinhos de mesa,,Brasil,Senegal,2010,,
261,Vinhos de mesa,,Brasil,Serra Leoa,2010,,
262,Vinhos de mesa,,Brasil,Sérvia,2010,,
263,Vinhos de mesa,,Brasil,Singapura,2010,,
264,Vinhos de mesa,,Brasil,Suazilândia,2010,,
265,Vinhos de mesa,,Brasil,Suécia,2010,,
266,Vinhos de mesa,,Brasil,Suíça,2010,2025.0,21600.0
267,Vinhos de mesa,,Brasil,Suriname,2010,1836.0,1269.0
268,Vinhos de mesa,,Brasil,Tailândia,2010,,
269,Vinhos de mesa,,Brasil,Taiwan (Formosa),2010,,
270,Vinhos de mesa,,Brasil,Tanzânia,2010,,
271,Vinhos de mesa,,Brasil,"Tcheca, República",2010,1091.0,5285.0
272,Vinhos de mesa,,Brasil,Togo,2010,,
273,Vinhos de mesa,,Brasil,Toquelau,2010,,
274,Vinhos de mesa,,Brasil,Trinidade Tobago,2010,,
275,Vinhos de mesa,,Brasil,Tunísia,2010,,
276,Vinhos de mesa,,Brasil,Turquia,2010,,
277,Vinhos de mesa,,Brasil,Tuvalu,2010,,
278,Vinhos de mesa,,Brasil,Uruguai,2010,914.0,2929.0
279,Vinhos de mesa,,Brasil,Vanuatu,2010,,
280,Vinhos de mesa,,Brasil,Venezuela,2010,,
281,Vinhos de mesa,,Brasil,Vietnã,2010,8820.0,9977.0
282,Vinhos de mesa,,Brasil,Afeganistão,2011,,
283,Vinhos de mesa,,Brasil,África do Sul,2011,,
284,Vinhos de mesa,,Brasil,"Alemanha, República Democrática",2011,36070.0,144150.0
285,Vinhos de mesa,,Brasil,Angola,2011,13889.0,69001.0
286,Vinhos de mesa,,Brasil,Anguilla,2011,,
287,Vinhos de mesa,,Brasil,Antígua e Barbuda,2011,,
288,Vinhos de mesa,,Brasil,Antilhas Holandesas,2011,7335.0,10188.0
289,Vinhos de mesa,,Brasil,Arábia Saudita,2011,,
290,Vinhos de mesa,,Brasil,Argélia,2011,,
291,Vinhos de mesa,,Brasil,Argentina,2011,13253.0,55460.0
292,Vinhos de mesa,,Brasil,Aruba,2011,900.0,1680.0
293,Vinhos de mesa,,Brasil,Austrália,2011,3632.0,40704.0
294,Vinhos de mesa,,Brasil,Áustria,2011,,
295,Vinhos de mesa,,Brasil,Bahamas,2011,4529.0,28810.0
296,Vinhos de mesa,,Brasil,Bangladesh,2011,,
297,Vinhos de mesa,,Brasil,Barbados,2011,,
298,Vinhos de mesa,,Brasil,Barein,2011,,
299,Vinhos de mesa,,Brasil,Bélgica,2011,11802.0,62339.0
300,Vinhos de mesa,,Brasil,Belice,2011,,
301,Vinhos de mesa,,Brasil,Benin,2011,,
302,Vinhos de mesa,,Brasil,Bermudas,2011,,
303,Vinhos de mesa,,Brasil,Bolívia,2011,12775.0,20215.0
304,Vinhos de mesa,,Brasil,Bósnia-Herzegovina,2011,,
305,Vinhos de mesa,,Brasil,Brasil,2011,,
306,Vinhos de mesa,,Brasil,Bulgária,2011,,
307,Vinhos de mesa,,Brasil,Cabo Verde,2011,600.0,825.0
308,Vinhos de mesa,,Brasil,Camarões,2011,,
309,Vinhos de mesa,,Brasil,Canadá,2011,28906.0,128076.0
310,Vinhos de mesa,,Brasil,Catar,2011,,
311,Vinhos de mesa,,Brasil,"Cayman, Ilhas",2011,,
312,Vinhos de mesa,,Brasil,Chile,2011,,
313,Vinhos de mesa,,Brasil,China,2011,54156.0,334867.0
314,Vinhos de mesa,,Brasil,Chipre,2011,,
315,Vinhos de mesa,,Brasil,Cingapura,2011,911.0,3317.0
316,Vinhos de mesa,,Brasil,"Cocos (Keeling), Ilhas",2011,,
317,Vinhos de mesa,,Brasil,Colômbia,2011,,
318,Vinhos de mesa,,Brasil,Comores,2011,,
319,Vinhos de mesa,,Brasil,Congo,2011,360.0,570.0
320,Vinhos de mesa,,Brasil,"Coreia, Republica Sul",2011,,
321,Vinhos de mesa,,Brasil,Costa do Marfim,2011,,
322,Vinhos de mesa,,Brasil,Costa Rica,2011,,
323,Vinhos de mesa,,Brasil,Coveite (Kuweit),2011,,
324,Vinhos de mesa,,Brasil,Croácia,2011,,
325,Vinhos de mesa,,Brasil,Cuba,2011,2880.0,4899.0
326,Vinhos de mesa,,Brasil,Curaçao,2011,,
327,Vinhos de mesa,,Brasil,Dinamarca,2011,32797.0,83057.0
328,Vinhos de mesa,,Brasil,Dominica,2011,,
329,Vinhos de mesa,,Brasil,El Salvador,2011,,
330,Vinhos de mesa,,Brasil,Emirados Arabes Unidos,2011,2120.0,6594.0
331,Vinhos de mesa,,Brasil,Equador,2011,,
332,Vinhos de mesa,,Brasil,"Eslovaca, Republica",2011,,
333,Vinhos de mesa,,Brasil,Espanha,2011,5206.0,24618.0
334,Vinhos de mesa,,Brasil,Estados Unidos,2011,306787.0,1030254.0
335,Vinhos de mesa,,Brasil,Estônia,2011,450.0,5336.0
336,Vinhos de mesa,,Brasil,Filipinas,2011,,
337,Vinhos de mesa,,Brasil,Finlândia,2011,12404.0,50394.0
338,Vinhos de mesa,,Brasil,França,2011,,
339,Vinhos de mesa,,Brasil,Gabão,2011,,
340,Vinhos de mesa,,Brasil,Gana,2011,,
341,Vinhos de mesa,,Brasil,Gibraltar,2011,,
342,Vinhos de mesa,,Brasil,Granada,2011,,
343,Vinhos de mesa,,Brasil,Grécia,2011,,
344,Vinhos de mesa,,Brasil,Guatemala,2011,,
345,Vinhos de mesa,,Brasil,Guiana,2011,,
346,Vinhos de mesa,,Brasil,Guiana Francesa,2011,,
347,Vinhos de mesa,,Brasil,Guine Bissau,2011,,
348,Vinhos de mesa,,Brasil,Guine Equatorial,2011,956.0,1979.0
349,Vinhos de mesa,,Brasil,Haiti,2011,,
350,Vinhos de mesa,,Brasil,Honduras,2011,,
